datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_7d;internacoes_7d_l;internacoes_7v7
28/01/2021;DRS 04 Baixada Santista;186,86;401;46,6;1831884;21,89;223;277;-19,49
28/01/2021;DRS 05 Barretos;71,43;93,71;76,22;425090;22,04;138;134;2,99
28/01/2021;DRS 06 Bauru;210,86;244,29;86,32;1741281;14,03;488;502;-2,79
28/01/2021;DRS 07 Campinas;516,71;750,86;68,82;4562125;16,46;939;969;-3,1
28/01/2021;DRS 08 Franca;92,43;112,86;81,9;696336;16,21;162;159;1,89
28/01/2021;DRS 09 Marília;159,57;191,43;83,36;1109670;17,25;371;317;17,03
28/01/2021;DRS 10 Piracicaba;170,57;258;66,11;1539600;16,76;413;380;8,68
28/01/2021;DRS 11 Presidente Prudente;61,57;83,43;73,8;752260;11,09;180;187;-3,74
28/01/2021;DRS 12 Registro;19,29;49;39,37;278754;17,58;51;52;-1,92
28/01/2021;DRS 13 Ribeirão Preto;204,43;249,43;81,96;1477530;16,88;415;412;0,73
28/01/2021;DRS 14 São João da Boa Vista;74,86;123,57;60,58;809836;15,26;162;188;-13,83
28/01/2021;DRS 15 São José do Rio Preto;262,14;378,57;69,24;1570421;24,11;520;581;-10,5
28/01/2021;DRS 16 Sorocaba;223,57;308,86;72,39;2461760;12,55;418;461;-9,33
28/01/2021;DRS 17 Taubaté;370,14;457,57;80,89;2489629;18,38;834;970;-14,02
28/01/2021;Estado de São Paulo;6099,14;8731;69,86;44639899;19,56;11093;12077;-8,15
29/01/2021;Município de São Paulo;2192;3075,71;71,27;11869660;25,91;3280;3789;-13,43
29/01/2021;Grande SP Leste;286,14;414,71;69;2977781;13,93;442;551;-19,78
29/01/2021;Grande SP Norte;34,14;57,57;59,3;603465;9,54;77;66;16,67
29/01/2021;Grande SP Oeste;147,71;297,57;49,64;1858252;16,01;303;319;-5,02
29/01/2021;Grande SP Sudeste;577,29;839,71;68,75;2690590;31,21;1058;1062;-0,38
29/01/2021;Grande SP Sudoeste;53,71;94,29;56,96;1138499;8,28;139;161;-13,66
29/01/2021;DRS 02 Araçatuba;77,43;123,43;62,73;764041;16,15;114;136;-16,18
29/01/2021;DRS 03 Araraquara;88;138,43;63,57;991435;13,96;273;260;5
29/01/2021;DRS 04 Baixada Santista;186,14;400,14;46,52;1831884;21,84;216;266;-18,8
29/01/2021;DRS 05 Barretos;69,71;93,57;74,5;425090;22,01;133;125;6,4
29/01/2021;DRS 06 Bauru;213,57;245,14;87,12;1741281;14,08;495;518;-4,44
29/01/2021;DRS 07 Campinas;520,14;755,14;68,88;4562125;16,55;924;965;-4,25
29/01/2021;DRS 08 Franca;93;112,57;82,62;696336;16,17;150;159;-5,66
29/01/2021;DRS 09 Marília;157,71;192,57;81,9;1109670;17,35;375;335;11,94
29/01/2021;DRS 10 Piracicaba;171,86;260,43;65,99;1539600;16,92;405;386;4,92
29/01/2021;DRS 11 Presidente Prudente;61,86;84,43;73,27;752260;11,22;185;184;0,54
